Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
Thailand,THA,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",87.89316
"Taiwan, China",TWN,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",94.93951
Brazil,BRA,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",84.8963
China,CHN,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",89.08524
"Hong Kong SAR, China",HKG,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",91.92744
Mexico,MEX,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",84.4066
Philippines,PHL,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",84.38574
Poland,POL,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",88.88347
Thailand,THA,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",92.03658
"Taiwan, China",TWN,2006,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",95.50894
Brazil,BRA,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",87.9876
China,CHN,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",93.37426
"Hong Kong SAR, China",HKG,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",93.79819
Mexico,MEX,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",87.75487
Philippines,PHL,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",86.84493
Poland,POL,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",91.00606
Thailand,THA,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",94.02769
"Taiwan, China",TWN,2007,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",97.22471
Brazil,BRA,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",92.98406
China,CHN,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",98.90636
"Hong Kong SAR, China",HKG,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",97.83447
Mexico,MEX,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",92.2523
Philippines,PHL,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",93.97552
Poland,POL,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",94.96426
Thailand,THA,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",99.18578
"Taiwan, China",TWN,2008,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",100.6572
Brazil,BRA,2009,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",97.52915
China,CHN,2009,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",98.18629
"Hong Kong SAR, China",HKG,2009,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",98.40136
Mexico,MEX,2009,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",97.13925
Philippines,PHL,2009,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",97.95962
